worker_id	segment	warmup	trial	stimulus	target	delay	correct	response	rt	addend1	addend2	addend1_s	addend2_s	calib_rt	keyboard	adjusted_rt
AC5FF0SJI0RXM	add2	False	0	5+3	8	638	True	8	1150	5	3	05	03	921.3333333333334	numbar	228.66666666666663
AC5FF0SJI0RXM	add2	False	134	2+6	8	958	True	8	2079	2	6	02	06	921.3333333333334	numbar	1157.6666666666665
AC5FF0SJI0RXM	add2	False	136	7+1	8	537	True	8	1264	7	1	07	01	921.3333333333334	numbar	342.66666666666663
AC5FF0SJI0RXM	add2	False	47	8+0	8	947	True	8	1053	8	0	08	00	921.3333333333334	numbar	131.66666666666663
AC5FF0SJI0RXM	add2	False	114	4+4	8	450	True	8	941	4	4	04	04	921.3333333333334	numbar	19.66666666666663
AC5FF0SJI0RXM	add2	False	19	6+2	8	955	True	8	1595	6	2	06	02	921.3333333333334	numbar	673.6666666666666
AC5FF0SJI0RXM	add2	False	25	0+8	8	819	True	8	946	0	8	00	08	921.3333333333334	numbar	24.66666666666663
AC5FF0SJI0RXM	add2	False	28	3+5	8	449	True	8	974	3	5	03	05	921.3333333333334	numbar	52.66666666666663
AC5FF0SJI0RXM	add2	False	65	1+7	8	877	True	8	955	1	7	01	07	921.3333333333334	numbar	33.66666666666663
AC5FF0SJI0RXM	add2	False	100	16+4	20	914	True	20	1359	16	4	16	04	759.0	numbar	600.0
AC5FF0SJI0RXM	add2	False	112	2+18	20	667	True	20	3745	2	18	02	18	759.0	numbar	2986.0
AC5FF0SJI0RXM	add2	False	130	19+1	20	428	True	20	1956	19	1	19	01	759.0	numbar	1197.0
AC5FF0SJI0RXM	add2	False	2	13+7	20	715	True	20	1270	13	7	13	07	759.0	numbar	511.0
AC5FF0SJI0RXM	add2	False	22	11+9	20	964	True	20	1139	11	9	11	09	759.0	numbar	380.0
AC5FF0SJI0RXM	add2	False	47	1+19	20	527	True	20	1353	1	19	01	19	759.0	numbar	594.0
AC5FF0SJI0RXM	add2	False	112	7+13	20	539	True	20	1735	7	13	07	13	759.0	numbar	976.0
AC5FF0SJI0RXM	add2	False	125	10+10	20	444	True	20	1277	10	10	10	10	759.0	numbar	518.0
AC5FF0SJI0RXM	add2	False	13	0+20	20	457	True	20	931	0	20	00	20	759.0	numbar	172.0
AC5FF0SJI0RXM	add2	False	25	18+2	20	506	True	20	2739	18	2	18	02	759.0	numbar	1980.0
AC5FF0SJI0RXM	add2	False	73	6+14	20	788	True	20	1501	6	14	06	14	759.0	numbar	742.0
